cohort	contrast	Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	library	p_resolution_note
Wu2021	high_vs_low_detected	prerank	mRNA Activation Upon Binding Of Cap-Binding Complex And eIFs, Subsequent Binding To 43S R-HSA-72662	-0.708299764852395	-2.0861161918245434	0.0	0.0	0.0	32/56	11.64%	RPS19;RPS3;RPS16;RPS27A;RPS7;EIF3A;RPS8;RPS21;RPS11;RPS5;RPS29;EIF3I;RPS25;EIF3K;RPS2;RPSA;RPS6;RPS9;RPS28;EIF3B;PABPC1;EIF3L;EIF3M;EIF4EBP1;RPS17;EIF3F;EIF4H;EIF4G1;EIF3J;RPS10;EIF3G;EIF2S2	Reactome_2022	1000 gene-set permutations; reported zero is below permutation resolution, not exact zero
Wu2021	high_vs_low_detected	prerank	Ribosomal Scanning And Start Codon Recognition R-HSA-72702	-0.7054026455604628	-2.0733064534244208	0.0	0.0	0.0	31/55	11.64%	RPS19;RPS3;RPS16;RPS27A;RPS7;EIF3A;RPS8;RPS21;RPS11;RPS5;RPS29;EIF3I;RPS25;EIF3K;EIF5;RPS2;RPSA;RPS6;RPS9;RPS28;EIF3B;EIF3L;EIF3M;RPS17;EIF3F;EIF4H;EIF4G1;EIF3J;RPS10;EIF3G;EIF2S2	Reactome_2022	1000 gene-set permutations; reported zero is below permutation resolution, not exact zero
Wu2021	high_vs_low_detected	prerank	Translation Initiation Complex Formation R-HSA-72649	-0.7045445390937817	-2.0722064912763285	0.0	0.0	0.0	31/55	11.64%	RPS19;RPS3;RPS16;RPS27A;RPS7;EIF3A;RPS8;RPS21;RPS11;RPS5;RPS29;EIF3I;RPS25;EIF3K;RPS2;RPSA;RPS6;RPS9;RPS28;EIF3B;PABPC1;EIF3L;EIF3M;RPS17;EIF3F;EIF4H;EIF4G1;EIF3J;RPS10;EIF3G;EIF2S2	Reactome_2022	1000 gene-set permutations; reported zero is below permutation resolution, not exact zero
Wu2021	high_vs_low_detected	prerank	Formation Of Ternary Complex, And Subsequently, 43S Complex R-HSA-72695	-0.7088223711438703	-2.046668644725879	0.0	0.0	0.0	28/48	11.64%	RPS19;RPS3;RPS16;RPS27A;RPS7;EIF3A;RPS8;RPS21;RPS11;RPS5;RPS29;EIF3I;RPS25;EIF3K;RPS2;RPSA;RPS6;RPS9;RPS28;EIF3B;EIF3L;EIF3M;RPS17;EIF3F;EIF3J;RPS10;EIF3G;EIF2S2	Reactome_2022	1000 gene-set permutations; reported zero is below permutation resolution, not exact zero
Wu2021	high_vs_low_detected	prerank	SRP-dependent Cotranslational Protein Targeting To Membrane R-HSA-1799339	-0.6660865159271693	-2.0435149403892465	0.0	0.0	0.0	58/104	15.81%	RPL18A;DDOST;RPL4;RPS19;RPS3;RPS16;UBA52;RPS27A;RPS7;RPL28;RPS8;RPL18;RPS21;RPL11;RPS11;RPS5;RPL37;RPS29;RPS25;RPS2;RPSA;RPS6;SRPRA;RPLP0;RPS9;SEC11A;RPL37A;SSR3;RPS28;RPL10A;RPL22;SEC61B;RPL13A;SPCS2;RPL21;RPLP2;SSR2;RPLP1;RPL5;RPS17;SEC61A1;RPN1;RPL30;SEC61G;SEC11C;SRPRB;SPCS3;RPS10;RPL27A;RPL6;RPN2;SSR4;RPL15;RPS20;SSR1;RPS12;RPL36A;RPL22L1	Reactome_2022	1000 gene-set permutations; reported zero is below permutation resolution, not exact zero
Wu2021	high_vs_low_detected	prerank	GTP Hydrolysis And Joining Of 60S Ribosomal Subunit R-HSA-72706	-0.6574563666617333	-2.024540327303631	0.0	0.0	0.0	56/105	15.81%	RPL18A;RPL4;RPS19;RPS3;RPS16;UBA52;RPS27A;RPS7;EIF3A;RPL28;RPS8;RPL18;RPS21;RPL11;RPS11;RPS5;RPL37;RPS29;EIF3I;EIF5B;RPS25;EIF3K;EIF5;RPS2;RPSA;RPS6;RPLP0;RPS9;RPL37A;RPS28;EIF3B;RPL10A;RPL22;EIF3L;RPL13A;EIF3M;RPL21;RPLP2;RPLP1;RPL5;RPS17;EIF3F;EIF4H;RPL30;EIF4G1;EIF3J;RPS10;EIF3G;EIF2S2;RPL27A;RPL6;RPL15;RPS20;RPS12;RPL36A;RPL22L1	Reactome_2022	1000 gene-set permutations; reported zero is below permutation resolution, not exact zero
Wu2021	high_vs_low_detected	prerank	Formation Of A Pool Of Free 40S Subunits R-HSA-72689	-0.6607165637554869	-2.0177294518015136	0.0	0.0	0.0	51/94	15.81%	RPL18A;RPL4;RPS19;RPS3;RPS16;UBA52;RPS27A;RPS7;EIF3A;RPL28;RPS8;RPL18;RPS21;RPL11;RPS11;RPS5;RPL37;RPS29;EIF3I;RPS25;EIF3K;RPS2;RPSA;RPS6;RPLP0;RPS9;RPL37A;RPS28;EIF3B;RPL10A;RPL22;EIF3L;RPL13A;EIF3M;RPL21;RPLP2;RPLP1;RPL5;RPS17;EIF3F;RPL30;EIF3J;RPS10;EIF3G;RPL27A;RPL6;RPL15;RPS20;RPS12;RPL36A;RPL22L1	Reactome_2022	1000 gene-set permutations; reported zero is below permutation resolution, not exact zero
Wu2021	high_vs_low_detected	prerank	L13a-mediated Translational Silencing Of Ceruloplasmin Expression R-HSA-156827	-0.6537866698107921	-2.012584104170881	0.0	0.0	0.0	55/104	15.81%	RPL18A;RPL4;RPS19;RPS3;RPS16;UBA52;RPS27A;RPS7;EIF3A;RPL28;RPS8;RPL18;RPS21;RPL11;RPS11;RPS5;RPL37;RPS29;EIF3I;RPS25;EIF3K;RPS2;RPSA;RPS6;RPLP0;RPS9;RPL37A;RPS28;EIF3B;RPL10A;RPL22;PABPC1;EIF3L;RPL13A;EIF3M;RPL21;RPLP2;RPLP1;RPL5;RPS17;EIF3F;EIF4H;RPL30;EIF4G1;EIF3J;RPS10;EIF3G;EIF2S2;RPL27A;RPL6;RPL15;RPS20;RPS12;RPL36A;RPL22L1	Reactome_2022	1000 gene-set permutations; reported zero is below permutation resolution, not exact zero
Wu2021	high_vs_low_detected	prerank	Cap-dependent Translation Initiation R-HSA-72737	-0.6398382321515104	-1.9808827636891415	0.0	0.0	0.0	58/112	15.81%	RPL18A;RPL4;RPS19;RPS3;RPS16;UBA52;RPS27A;RPS7;EIF3A;RPL28;RPS8;RPL18;RPS21;RPL11;RPS11;RPS5;RPL37;RPS29;EIF3I;EIF5B;RPS25;EIF3K;EIF5;RPS2;RPSA;RPS6;RPLP0;RPS9;RPL37A;RPS28;EIF3B;RPL10A;RPL22;PABPC1;EIF3L;RPL13A;EIF3M;RPL21;RPLP2;RPLP1;RPL5;EIF4EBP1;RPS17;EIF3F;EIF4H;RPL30;EIF4G1;EIF3J;RPS10;EIF3G;EIF2S2;RPL27A;RPL6;RPL15;RPS20;RPS12;RPL36A;RPL22L1	Reactome_2022	1000 gene-set permutations; reported zero is below permutation resolution, not exact zero
Wu2021	high_vs_low_detected	prerank	Nonsense Mediated Decay (NMD) Independent Of Exon Junction Complex (EJC) R-HSA-975956	-0.6438676530919634	-1.9552084950748447	0.0	0.0	0.0	46/88	15.81%	RPL18A;RPL4;RPS19;RPS3;RPS16;UBA52;RPS27A;RPS7;RPL28;RPS8;RPL18;RPS21;RPL11;RPS11;RPS5;RPL37;RPS29;RPS25;RPS2;RPSA;RPS6;RPLP0;RPS9;RPL37A;RPS28;RPL10A;RPL22;PABPC1;RPL13A;RPL21;RPLP2;RPLP1;RPL5;RPS17;GSPT1;RPL30;EIF4G1;RPS10;RPL27A;RPL6;RPL15;RPS20;RPS12;RPL36A;GSPT2;RPL22L1	Reactome_2022	1000 gene-set permutations; reported zero is below permutation resolution, not exact zero
