cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	log2FC	logCPM	QL_F	direction	depth_log2FC	depth_p_value	depth_direction_agrees	n_donors	donors_high_greater	donors_high_lower	selected	depth_selected
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T153907Z_lypla1_fc025_v3	COAD_LYPLA1_fc025_v3	LYPLA1_high_low	NA	NA	PRSS2	donor	8	8	edgeR_log2FC_high_vs_low	-1.99966729693798	NA	NA	1.2550204209404298e-11	NA	11058_gene_nominal_P	11058	DONE	NOMINAL_P_ONLY	Uhlitz_GSE166555_author_CNA	-1.99966729693798	4.81054727700215	90.2257972756664	lower_in_LYPLA1_high	-2.16618933190897	0.0054315595976253	True	8	1	2	True	True
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T153907Z_lypla1_fc025_v3	COAD_LYPLA1_fc025_v3	LYPLA1_high_low	NA	NA	NMU	donor	8	8	edgeR_log2FC_high_vs_low	1.32435167096741	NA	NA	8.13590189908361e-07	NA	11058_gene_nominal_P	11058	DONE	NOMINAL_P_ONLY	Uhlitz_GSE166555_author_CNA	1.32435167096741	4.24496377534301	42.4470349650641	higher_in_LYPLA1_high	1.19475878475448	0.0366113357380179	True	8	7	1	True	True
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T153907Z_lypla1_fc025_v3	COAD_LYPLA1_fc025_v3	LYPLA1_high_low	NA	NA	SOD3	donor	8	8	edgeR_log2FC_high_vs_low	-0.496299362605784	NA	NA	2.27934147854104e-06	NA	11058_gene_nominal_P	11058	DONE	NOMINAL_P_ONLY	Uhlitz_GSE166555_author_CNA	-0.496299362605784	6.4182151704537	30.2224702974281	lower_in_LYPLA1_high	-0.474880321907081	0.0431453001610062	True	8	1	7	True	True
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T153907Z_lypla1_fc025_v3	COAD_LYPLA1_fc025_v3	LYPLA1_high_low	NA	NA	S100A7	donor	8	8	edgeR_log2FC_high_vs_low	-0.895639859582372	NA	NA	7.56853907364849e-06	NA	11058_gene_nominal_P	11058	DONE	NOMINAL_P_ONLY	Uhlitz_GSE166555_author_CNA	-0.895639859582372	8.81834063884023	27.7184883641047	lower_in_LYPLA1_high	2.62486303457622	0.337501099492616	False	8	1	2	True	False
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T153907Z_lypla1_fc025_v3	COAD_LYPLA1_fc025_v3	LYPLA1_high_low	NA	NA	SCEL	donor	8	8	edgeR_log2FC_high_vs_low	0.916732985252609	NA	NA	8.10786133643961e-06	NA	11058_gene_nominal_P	11058	DONE	NOMINAL_P_ONLY	Uhlitz_GSE166555_author_CNA	0.916732985252609	4.17903051263407	25.8165958388569	higher_in_LYPLA1_high	0.936880018763	0.143914251902772	True	8	5	1	True	False
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T153907Z_lypla1_fc025_v3	COAD_LYPLA1_fc025_v3	LYPLA1_high_low	NA	NA	KCTD12	donor	8	8	edgeR_log2FC_high_vs_low	-0.911837247964599	NA	NA	1.78428043572712e-05	NA	11058_gene_nominal_P	11058	DONE	NOMINAL_P_ONLY	Uhlitz_GSE166555_author_CNA	-0.911837247964599	3.96195710998094	23.1427994095317	lower_in_LYPLA1_high	0.210459979708167	0.664772649523217	False	8	1	7	True	False
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T153907Z_lypla1_fc025_v3	COAD_LYPLA1_fc025_v3	LYPLA1_high_low	NA	NA	NOP53	donor	8	8	edgeR_log2FC_high_vs_low	-0.292570027408427	NA	NA	2.15658833596889e-05	NA	11058_gene_nominal_P	11058	DONE	NOMINAL_P_ONLY	Uhlitz_GSE166555_author_CNA	-0.292570027408427	7.40891156696814	22.589171285008	lower_in_LYPLA1_high	-0.252561291433978	0.0491191949018088	True	8	0	8	True	True
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T153907Z_lypla1_fc025_v3	COAD_LYPLA1_fc025_v3	LYPLA1_high_low	NA	NA	IER3	donor	8	8	edgeR_log2FC_high_vs_low	-0.314772226372062	NA	NA	2.58668062701842e-05	NA	11058_gene_nominal_P	11058	DONE	NOMINAL_P_ONLY	Uhlitz_GSE166555_author_CNA	-0.314772226372062	9.67409848870889	22.3294539773018	lower_in_LYPLA1_high	-0.227783378749559	0.0885679278987647	True	8	0	8	True	False
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T153907Z_lypla1_fc025_v3	COAD_LYPLA1_fc025_v3	LYPLA1_high_low	NA	NA	FAM3D	donor	8	8	edgeR_log2FC_high_vs_low	-0.309195710195131	NA	NA	2.8150507120941e-05	NA	11058_gene_nominal_P	11058	DONE	NOMINAL_P_ONLY	Uhlitz_GSE166555_author_CNA	-0.309195710195131	8.87404483432512	21.8192732747051	lower_in_LYPLA1_high	-0.416058151574375	0.0022962246397638	True	8	1	7	True	True
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T153907Z_lypla1_fc025_v3	COAD_LYPLA1_fc025_v3	LYPLA1_high_low	NA	NA	CDC42EP5	donor	8	8	edgeR_log2FC_high_vs_low	-0.287584148497954	NA	NA	3.00424406317523e-05	NA	11058_gene_nominal_P	11058	DONE	NOMINAL_P_ONLY	Uhlitz_GSE166555_author_CNA	-0.287584148497954	7.82577510925476	21.6328274643818	lower_in_LYPLA1_high	-0.213830111337181	0.087014156067045	True	8	0	8	True	False
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T153907Z_lypla1_fc025_v3	COAD_LYPLA1_fc025_v3	LYPLA1_high_low	NA	NA	NRARP	donor	8	8	edgeR_log2FC_high_vs_low	-0.314198920278969	NA	NA	3.53828656625708e-05	NA	11058_gene_nominal_P	11058	DONE	NOMINAL_P_ONLY	Uhlitz_GSE166555_author_CNA	-0.314198920278969	7.30710072511447	21.1664273635265	lower_in_LYPLA1_high	-0.223494782718135	0.179485000723629	True	8	0	8	True	False
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T153907Z_lypla1_fc025_v3	COAD_LYPLA1_fc025_v3	LYPLA1_high_low	NA	NA	ORM1	donor	8	8	edgeR_log2FC_high_vs_low	-0.994787318966486	NA	NA	3.8159668279172e-05	NA	11058_gene_nominal_P	11058	DONE	NOMINAL_P_ONLY	Uhlitz_GSE166555_author_CNA	-0.994787318966486	4.52146100537308	21.550307546155	lower_in_LYPLA1_high	-0.181238993065018	0.89353134731335	True	8	2	1	True	False
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T153907Z_lypla1_fc025_v3	COAD_LYPLA1_fc025_v3	LYPLA1_high_low	NA	NA	LGALS4	donor	8	8	edgeR_log2FC_high_vs_low	-0.266151468489183	NA	NA	3.95001915431535e-05	NA	11058_gene_nominal_P	11058	DONE	NOMINAL_P_ONLY	Uhlitz_GSE166555_author_CNA	-0.266151468489183	10.4027278420786	20.8547191670973	lower_in_LYPLA1_high	-0.193241307153958	0.0896175667618459	True	8	0	8	True	False
