cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	original_effect	original_q	family_n_planned	up_pairs	down_pairs	equal_pairs	up_percent	down_percent	both_observed_pairs	tumor_only_missing_pairs	normal_only_missing_pairs	both_missing_pairs	n_nonzero_differences	bootstrap_valid	random_seed	historical_run_id	historical_effect	historical_effect_type	historical_ci_lower	historical_ci_upper	historical_test_family	mean_difference	rank_biserial	mean_ci_lower	mean_ci_upper	mean_bootstrap_seed	mean_majority_conflict	pairs_higher	pairs_lower	pairs_equal
COAD	CAMP_COAD	03_PATIENT	20260922T143500Z_metabolite_descriptors_v2	COAD_metabolite_descriptor_v2	metabolite_primary	KEGG:C00019	S-adenosylmethionine (SAM)	NA	GEO_annotated_patient_pair	33	33	mean_paired_T_minus_N_author_normalized_log_scale	1.4817481608661072	1.1723175151703054	1.814584443795828	1.0246143586016148e-06	1.8101520335295194e-05	COAD_paired_metabolites33_v1_primary33	159	DONE	COMPUTED	PreprocessedData_COAD.xlsx	1.58687135491014	9.78479129514819e-08	159	32	1	0	96.96969696969697	3.0303030303030303	31	0	2	0	33	4000	1994888537	20260921T123200Z_paired_metabolites33_v1	1.4895295983343297	median_paired_T_minus_N_author_normalized_log_scale	1.2712335587996595	1.7131428341513608	COAD_paired_metabolites33_v1_primary33	1.4817481608661072	0.9750445632798574	1.1723175151703054	1.814584443795828	4089888323	False	32	1	0
COAD	CAMP_COAD	03_PATIENT	20260922T143500Z_metabolite_descriptors_v2	COAD_metabolite_descriptor_v2	metabolite_primary	KEGG:C00051	glutathione, reduced (GSH)	NA	GEO_annotated_patient_pair	33	33	mean_paired_T_minus_N_author_normalized_log_scale	1.4355986888216752	0.4583221858863344	2.426267097380879	0.005769889487713442	0.012232165713952496	COAD_paired_metabolites33_v1_primary33	159	DONE	COMPUTED	PreprocessedData_COAD.xlsx	0.723546364233653	0.00137962772378558	159	25	8	0	75.75757575757575	24.242424242424242	31	0	2	0	33	4000	3571023248	20260921T123200Z_paired_metabolites33_v1	1.5699528365274196	median_paired_T_minus_N_author_normalized_log_scale	0.5990597900080896	2.41055054092282	COAD_paired_metabolites33_v1_primary33	1.4355986888216752	0.5508021390374331	0.4583221858863344	2.426267097380879	18374285	False	25	8	0
COAD	CAMP_COAD	03_PATIENT	20260922T143500Z_metabolite_descriptors_v2	COAD_metabolite_descriptor_v2	metabolite_primary	KEGG:C00099	beta-alanine	NA	GEO_annotated_patient_pair	33	33	mean_paired_T_minus_N_author_normalized_log_scale	1.2638240711336994	1.055788997242708	1.4706016969148359	7.110442835794288e-07	1.806440826697348e-05	COAD_paired_metabolites33_v1_primary33	159	DONE	COMPUTED	PreprocessedData_COAD.xlsx	2.22555471341831	3.39874265565443e-10	159	32	1	0	96.96969696969697	3.0303030303030303	33	0	0	0	33	4000	1198823413	20260921T123200Z_paired_metabolites33_v1	1.19264906669402	median_paired_T_minus_N_author_normalized_log_scale	0.9574261733737002	1.51280641891067	COAD_paired_metabolites33_v1_primary33	1.2638240711336994	0.9893048128342246	1.055788997242708	1.4706016969148359	3677588461	False	32	1	0
COAD	CAMP_COAD	03_PATIENT	20260922T143500Z_metabolite_descriptors_v2	COAD_metabolite_descriptor_v2	metabolite_primary	KEGG:C06369	2-Deoxyglucose 6-phosphate	NA	GEO_annotated_patient_pair	33	33	mean_paired_T_minus_N_author_normalized_log_scale	0.9394743248659754	0.4624736266485098	1.420867365481647	0.0012026870288842505	0.0032411396202134887	COAD_paired_metabolites33_v1_primary33	159	DONE	COMPUTED	PreprocessedData_COAD.xlsx	0.659781947432759	0.0126783874309455	159	20	6	7	60.60606060606061	18.181818181818183	15	2	9	7	26	4000	1210046227	20260921T123200Z_paired_metabolites33_v1	1.0256987673166198	median_paired_T_minus_N_author_normalized_log_scale	0.0	1.5673439837333554	COAD_paired_metabolites33_v1_primary33	0.9394743248659754	0.7264957264957265	0.4624736266485098	1.420867365481647	3575476895	False	20	6	7
COAD	CAMP_COAD	03_PATIENT	20260922T143500Z_metabolite_descriptors_v2	COAD_metabolite_descriptor_v2	metabolite_primary	KEGG:C00519	hypotaurine	NA	GEO_annotated_patient_pair	33	33	mean_paired_T_minus_N_author_normalized_log_scale	1.391077391652124	1.1872028126393372	1.596068176029717	7.952884142692727e-07	1.806440826697348e-05	COAD_paired_metabolites33_v1_primary33	159	DONE	COMPUTED	PreprocessedData_COAD.xlsx	1.35836816796979	3.7774906946348e-08	159	32	0	1	96.96969696969697	0.0	32	0	0	1	32	4000	1331906712	20260921T123200Z_paired_metabolites33_v1	1.45226906938169	median_paired_T_minus_N_author_normalized_log_scale	1.09325719887289	1.6593105810385698	COAD_paired_metabolites33_v1_primary33	1.391077391652124	1.0	1.1872028126393372	1.596068176029717	2268541996	False	32	0	1
COAD	CAMP_COAD	03_PATIENT	20260922T143500Z_metabolite_descriptors_v2	COAD_metabolite_descriptor_v2	metabolite_primary	KEGG:C00357	N-acetylglucosamine 6-phosphate	NA	GEO_annotated_patient_pair	33	33	mean_paired_T_minus_N_author_normalized_log_scale	1.0369446503299629	0.726499595046761	1.324799515919153	7.609322951173988e-06	7.11695499550979e-05	COAD_paired_metabolites33_v1_primary33	159	DONE	COMPUTED	PreprocessedData_COAD.xlsx	1.2061475455854	1.51302088736128e-05	159	29	4	0	87.87878787878788	12.121212121212121	32	0	1	0	33	4000	691666568	20260921T123200Z_paired_metabolites33_v1	1.0582220185610698	median_paired_T_minus_N_author_normalized_log_scale	0.6754190309882997	1.41006192364578	COAD_paired_metabolites33_v1_primary33	1.0369446503299629	0.893048128342246	0.726499595046761	1.324799515919153	1466431227	False	29	4	0
COAD	CAMP_COAD	03_PATIENT	20260922T143500Z_metabolite_descriptors_v2	COAD_metabolite_descriptor_v2	metabolite_primary	KEGG:C00106	uracil	NA	GEO_annotated_patient_pair	33	33	mean_paired_T_minus_N_author_normalized_log_scale	1.0330419941384783	0.5470122507161904	1.5037054072316667	0.0003896820816017588	0.0012401798153079935	COAD_paired_metabolites33_v1_primary33	159	DONE	COMPUTED	PreprocessedData_COAD.xlsx	0.735231055609736	0.00317493716792095	159	25	6	2	75.75757575757575	18.181818181818183	24	1	6	2	31	4000	2844113884	20260921T123200Z_paired_metabolites33_v1	0.9344352964330795	median_paired_T_minus_N_author_normalized_log_scale	0.4565370438505596	1.5264645318927696	COAD_paired_metabolites33_v1_primary33	1.0330419941384783	0.7298387096774194	0.5470122507161904	1.5037054072316667	1725750321	False	25	6	2
COAD	CAMP_COAD	03_PATIENT	20260922T143500Z_metabolite_descriptors_v2	COAD_metabolite_descriptor_v2	metabolite_primary	KEGG:C03794	adenylosuccinate	NA	GEO_annotated_patient_pair	33	33	mean_paired_T_minus_N_author_normalized_log_scale	0.9648985574867641	0.44878009516032985	1.4607075297849548	0.0013399868070180538	0.003492752496981484	COAD_paired_metabolites33_v1_primary33	159	DONE	COMPUTED	PreprocessedData_COAD.xlsx	0.723072982975468	0.00103594092695614	159	24	9	0	72.72727272727273	27.27272727272727	28	2	3	0	33	4000	1649058285	20260921T123200Z_paired_metabolites33_v1	0.9037594178696295	median_paired_T_minus_N_author_normalized_log_scale	0.1584942136366596	1.3710421443937797	COAD_paired_metabolites33_v1_primary33	0.9648985574867641	0.6399286987522281	0.44878009516032985	1.4607075297849548	1047833829	False	24	9	0
COAD	CAMP_COAD	03_PATIENT	20260922T143500Z_metabolite_descriptors_v2	COAD_metabolite_descriptor_v2	metabolite_primary	KEGG:R00900	cysteine-glutathione disulfide	NA	GEO_annotated_patient_pair	33	33	mean_paired_T_minus_N_author_normalized_log_scale	0.905557461376306	0.31865550604789494	1.5028163336681297	0.0067899142179925894	0.014020731956634048	COAD_paired_metabolites33_v1_primary33	159	DONE	COMPUTED	PreprocessedData_COAD.xlsx	0.592489232663605	0.0295374808693407	159	24	9	0	72.72727272727273	27.27272727272727	32	0	1	0	33	4000	3519432484	20260921T123200Z_paired_metabolites33_v1	0.5871471076711501	median_paired_T_minus_N_author_normalized_log_scale	0.005570355716330244	1.6916216757534004	COAD_paired_metabolites33_v1_primary33	0.905557461376306	0.5401069518716578	0.31865550604789494	1.5028163336681297	1235188333	False	24	9	0
COAD	CAMP_COAD	03_PATIENT	20260922T143500Z_metabolite_descriptors_v2	COAD_metabolite_descriptor_v2	metabolite_primary	KEGG:C00307	cytidine 5'-diphosphocholine	NA	GEO_annotated_patient_pair	33	33	mean_paired_T_minus_N_author_normalized_log_scale	1.1332549602900774	0.684968792076237	1.536833337333729	4.804664723336784e-05	0.0002632865028078734	COAD_paired_metabolites33_v1_primary33	159	DONE	COMPUTED	PreprocessedData_COAD.xlsx	1.20327326312888	7.43310822038562e-07	159	29	4	0	87.87878787878788	12.121212121212121	29	1	3	0	33	4000	794029992	20260921T123200Z_paired_metabolites33_v1	1.1936811634130304	median_paired_T_minus_N_author_normalized_log_scale	0.8577875159752297	1.6179684489660602	COAD_paired_metabolites33_v1_primary33	1.1332549602900774	0.8110516934046346	0.684968792076237	1.536833337333729	2964605098	False	29	4	0
