cancer	cohort	stage_id	run_id	analysis_version	feature_id	relation_id	metabolite_name	metabolite_key	gene	stable_gene_id	mapping_status	status	source_urls	evidence_origins	n_evidence_rows	discovery_gate	reason
GBM	CAMP_GBM	02_MAPPING	20260925T103000Z_discovery_v1	gbm_mapping_v1	GBM_FEATURE:0e666297b1d455c9	GBM_FEATURE:0e666297b1d455c9|UniProt:P06744	fructose-6-phosphate	KEGG:C05345	GPI	UniProt:P06744	DIRECT_ACCEPTED	DONE	https://enzyme.expasy.org/EC/5.3.1.9 ; https://www.uniprot.org/uniprotkb/P06744/entry	BRCA	1	CONDITIONAL_NORMAL_LABEL_CONFLICT	reviewed exact-name plus chemical-key human biochemistry reuse;not functional proof
GBM	CAMP_GBM	02_MAPPING	20260925T103000Z_discovery_v1	gbm_mapping_v1	GBM_FEATURE:0e666297b1d455c9	GBM_FEATURE:0e666297b1d455c9|UniProt:P34949	fructose-6-phosphate	KEGG:C05345	MPI	UniProt:P34949	DIRECT_ACCEPTED	DONE	https://enzyme.expasy.org/EC/5.3.1.8 ; https://www.uniprot.org/uniprotkb/P34949/entry	BRCA	1	CONDITIONAL_NORMAL_LABEL_CONFLICT	reviewed exact-name plus chemical-key human biochemistry reuse;not functional proof
GBM	CAMP_GBM	02_MAPPING	20260925T103000Z_discovery_v1	gbm_mapping_v1	GBM_FEATURE:0e666297b1d455c9	GBM_FEATURE:0e666297b1d455c9|UniProt:P17858	fructose-6-phosphate	KEGG:C05345	PFKL	UniProt:P17858	DIRECT_ACCEPTED	DONE	https://enzyme.expasy.org/EC/2.7.1.11 ; https://www.uniprot.org/uniprotkb/P17858/entry	BRCA	1	CONDITIONAL_NORMAL_LABEL_CONFLICT	reviewed exact-name plus chemical-key human biochemistry reuse;not functional proof
GBM	CAMP_GBM	02_MAPPING	20260925T103000Z_discovery_v1	gbm_mapping_v1	GBM_FEATURE:0e666297b1d455c9	GBM_FEATURE:0e666297b1d455c9|UniProt:P08237	fructose-6-phosphate	KEGG:C05345	PFKM	UniProt:P08237	DIRECT_ACCEPTED	DONE	https://enzyme.expasy.org/EC/2.7.1.11 ; https://www.uniprot.org/uniprotkb/P08237/entry	BRCA	1	CONDITIONAL_NORMAL_LABEL_CONFLICT	reviewed exact-name plus chemical-key human biochemistry reuse;not functional proof
GBM	CAMP_GBM	02_MAPPING	20260925T103000Z_discovery_v1	gbm_mapping_v1	GBM_FEATURE:0e666297b1d455c9	GBM_FEATURE:0e666297b1d455c9|UniProt:Q01813	fructose-6-phosphate	KEGG:C05345	PFKP	UniProt:Q01813	DIRECT_ACCEPTED	DONE	https://enzyme.expasy.org/EC/2.7.1.11 ; https://www.uniprot.org/uniprotkb/Q01813/entry	BRCA	1	CONDITIONAL_NORMAL_LABEL_CONFLICT	reviewed exact-name plus chemical-key human biochemistry reuse;not functional proof
GBM	CAMP_GBM	02_MAPPING	20260925T103000Z_discovery_v1	gbm_mapping_v1	GBM_FEATURE:10511d2fb2642333	GBM_FEATURE:10511d2fb2642333|UniProt:O95573	docosahexaenoate (DHA; 22:6n3)	KEGG:C06429	ACSL3	UniProt:O95573	DIRECT_ACCEPTED	DONE	https://www.uniprot.org/uniprotkb/O95573/entry	BRCA	1	CONDITIONAL_NORMAL_LABEL_CONFLICT	reviewed exact-name plus chemical-key human biochemistry reuse;not functional proof
GBM	CAMP_GBM	02_MAPPING	20260925T103000Z_discovery_v1	gbm_mapping_v1	GBM_FEATURE:10511d2fb2642333	GBM_FEATURE:10511d2fb2642333|UniProt:O60488	docosahexaenoate (DHA; 22:6n3)	KEGG:C06429	ACSL4	UniProt:O60488	DIRECT_ACCEPTED	DONE	https://www.uniprot.org/uniprotkb/O60488/entry	BRCA	3	CONDITIONAL_NORMAL_LABEL_CONFLICT	reviewed exact-name plus chemical-key human biochemistry reuse;not functional proof
GBM	CAMP_GBM	02_MAPPING	20260925T103000Z_discovery_v1	gbm_mapping_v1	GBM_FEATURE:10511d2fb2642333	GBM_FEATURE:10511d2fb2642333|UniProt:P16050	docosahexaenoate (DHA; 22:6n3)	KEGG:C06429	ALOX15	UniProt:P16050	DIRECT_ACCEPTED	DONE	https://www.uniprot.org/uniprotkb/P16050/entry	BRCA	3	CONDITIONAL_NORMAL_LABEL_CONFLICT	reviewed exact-name plus chemical-key human biochemistry reuse;not functional proof
GBM	CAMP_GBM	02_MAPPING	20260925T103000Z_discovery_v1	gbm_mapping_v1	GBM_FEATURE:10511d2fb2642333	GBM_FEATURE:10511d2fb2642333|UniProt:P78329	docosahexaenoate (DHA; 22:6n3)	KEGG:C06429	CYP4F2	UniProt:P78329	DIRECT_ACCEPTED	DONE	https://www.uniprot.org/uniprotkb/P78329/entry	BRCA	1	CONDITIONAL_NORMAL_LABEL_CONFLICT	reviewed exact-name plus chemical-key human biochemistry reuse;not functional proof
GBM	CAMP_GBM	02_MAPPING	20260925T103000Z_discovery_v1	gbm_mapping_v1	GBM_FEATURE:1432b9e82c3172bb	GBM_FEATURE:1432b9e82c3172bb|hsa:586	isoleucine	KEGG:C00407	BCAT1	hsa:586	DIRECT_ACCEPTED	DONE	"[""https://www.kegg.jp/entry/R02199"", ""https://www.uniprot.org/uniprotkb/P54687/entry""]"	COAD	1	CONDITIONAL_NORMAL_LABEL_CONFLICT	reviewed exact-name plus chemical-key human biochemistry reuse;not functional proof
GBM	CAMP_GBM	02_MAPPING	20260925T103000Z_discovery_v1	gbm_mapping_v1	GBM_FEATURE:1432b9e82c3172bb	GBM_FEATURE:1432b9e82c3172bb|hsa:587	isoleucine	KEGG:C00407	BCAT2	hsa:587	DIRECT_ACCEPTED	DONE	"[""https://www.kegg.jp/entry/R02199"", ""https://www.uniprot.org/uniprotkb/O15382/entry""]"	COAD	1	CONDITIONAL_NORMAL_LABEL_CONFLICT	reviewed exact-name plus chemical-key human biochemistry reuse;not functional proof
GBM	CAMP_GBM	02_MAPPING	20260925T103000Z_discovery_v1	gbm_mapping_v1	GBM_FEATURE:1432b9e82c3172bb	GBM_FEATURE:1432b9e82c3172bb|hsa:3376	isoleucine	KEGG:C00407	IARS1	hsa:3376	DIRECT_ACCEPTED	DONE	"[""https://www.kegg.jp/entry/R03656"", ""https://www.uniprot.org/uniprotkb/P41252/entry""]"	COAD	1	CONDITIONAL_NORMAL_LABEL_CONFLICT	reviewed exact-name plus chemical-key human biochemistry reuse;not functional proof
GBM	CAMP_GBM	02_MAPPING	20260925T103000Z_discovery_v1	gbm_mapping_v1	GBM_FEATURE:1432b9e82c3172bb	GBM_FEATURE:1432b9e82c3172bb|hsa:55699	isoleucine	KEGG:C00407	IARS2	hsa:55699	DIRECT_ACCEPTED	DONE	"[""https://www.kegg.jp/entry/R03656"", ""https://www.uniprot.org/uniprotkb/Q9NSE4/entry""]"	COAD	1	CONDITIONAL_NORMAL_LABEL_CONFLICT	reviewed exact-name plus chemical-key human biochemistry reuse;not functional proof
GBM	CAMP_GBM	02_MAPPING	20260925T103000Z_discovery_v1	gbm_mapping_v1	GBM_FEATURE:1432b9e82c3172bb	GBM_FEATURE:1432b9e82c3172bb|hsa:8501	isoleucine	KEGG:C00407	SLC43A1	hsa:8501	DIRECT_ACCEPTED	DONE	"[""https://www.uniprot.org/uniprotkb/O75387/entry""]"	COAD	1	CONDITIONAL_NORMAL_LABEL_CONFLICT	reviewed exact-name plus chemical-key human biochemistry reuse;not functional proof
GBM	CAMP_GBM	02_MAPPING	20260925T103000Z_discovery_v1	gbm_mapping_v1	GBM_FEATURE:1432b9e82c3172bb	GBM_FEATURE:1432b9e82c3172bb|hsa:124935	isoleucine	KEGG:C00407	SLC43A2	hsa:124935	DIRECT_ACCEPTED	DONE	"[""https://www.uniprot.org/uniprotkb/Q8N370/entry""]"	COAD	1	CONDITIONAL_NORMAL_LABEL_CONFLICT	reviewed exact-name plus chemical-key human biochemistry reuse;not functional proof
GBM	CAMP_GBM	02_MAPPING	20260925T103000Z_discovery_v1	gbm_mapping_v1	GBM_FEATURE:1432b9e82c3172bb	GBM_FEATURE:1432b9e82c3172bb|hsa:11254	isoleucine	KEGG:C00407	SLC6A14	hsa:11254	DIRECT_ACCEPTED	DONE	"[""https://www.uniprot.org/uniprotkb/Q9UN76/entry""]"	COAD	1	CONDITIONAL_NORMAL_LABEL_CONFLICT	reviewed exact-name plus chemical-key human biochemistry reuse;not functional proof
GBM	CAMP_GBM	02_MAPPING	20260925T103000Z_discovery_v1	gbm_mapping_v1	GBM_FEATURE:1432b9e82c3172bb	GBM_FEATURE:1432b9e82c3172bb|hsa:55117	isoleucine	KEGG:C00407	SLC6A15	hsa:55117	DIRECT_ACCEPTED	DONE	"[""https://www.uniprot.org/uniprotkb/Q9H2J7/entry""]"	COAD	1	CONDITIONAL_NORMAL_LABEL_CONFLICT	reviewed exact-name plus chemical-key human biochemistry reuse;not functional proof
GBM	CAMP_GBM	02_MAPPING	20260925T103000Z_discovery_v1	gbm_mapping_v1	GBM_FEATURE:1432b9e82c3172bb	GBM_FEATURE:1432b9e82c3172bb|hsa:340024	isoleucine	KEGG:C00407	SLC6A19	hsa:340024	DIRECT_ACCEPTED	DONE	"[""https://www.uniprot.org/uniprotkb/Q695T7/entry""]"	COAD	1	CONDITIONAL_NORMAL_LABEL_CONFLICT	reviewed exact-name plus chemical-key human biochemistry reuse;not functional proof
GBM	CAMP_GBM	02_MAPPING	20260925T103000Z_discovery_v1	gbm_mapping_v1	GBM_FEATURE:1432b9e82c3172bb	GBM_FEATURE:1432b9e82c3172bb|hsa:8140	isoleucine	KEGG:C00407	SLC7A5	hsa:8140	DIRECT_ACCEPTED	DONE	"[""https://www.uniprot.org/uniprotkb/Q01650/entry""]"	COAD	1	CONDITIONAL_NORMAL_LABEL_CONFLICT	reviewed exact-name plus chemical-key human biochemistry reuse;not functional proof
GBM	CAMP_GBM	02_MAPPING	20260925T103000Z_discovery_v1	gbm_mapping_v1	GBM_FEATURE:1432b9e82c3172bb	GBM_FEATURE:1432b9e82c3172bb|hsa:23428	isoleucine	KEGG:C00407	SLC7A8	hsa:23428	DIRECT_ACCEPTED	DONE	"[""https://www.uniprot.org/uniprotkb/Q9UHI5/entry""]"	COAD	1	CONDITIONAL_NORMAL_LABEL_CONFLICT	reviewed exact-name plus chemical-key human biochemistry reuse;not functional proof
GBM	CAMP_GBM	02_MAPPING	20260925T103000Z_discovery_v1	gbm_mapping_v1	GBM_FEATURE:169ff670f3c26bd2	GBM_FEATURE:169ff670f3c26bd2|hsa:84890	hypotaurine	KEGG:C00519	ADO	hsa:84890	DIRECT_ACCEPTED	DONE	"[""https://www.kegg.jp/entry/R02467"", ""https://www.uniprot.org/uniprotkb/Q96SZ5/entry""]"	COAD	1	CONDITIONAL_NORMAL_LABEL_CONFLICT	reviewed exact-name plus chemical-key human biochemistry reuse;not functional proof
GBM	CAMP_GBM	02_MAPPING	20260925T103000Z_discovery_v1	gbm_mapping_v1	GBM_FEATURE:169ff670f3c26bd2	GBM_FEATURE:169ff670f3c26bd2|hsa:51380	hypotaurine	KEGG:C00519	CSAD	hsa:51380	DIRECT_ACCEPTED	DONE	"[""https://www.kegg.jp/entry/R02466"", ""https://www.uniprot.org/uniprotkb/Q9Y600/entry""]"	COAD	1	CONDITIONAL_NORMAL_LABEL_CONFLICT	reviewed exact-name plus chemical-key human biochemistry reuse;not functional proof
GBM	CAMP_GBM	02_MAPPING	20260925T103000Z_discovery_v1	gbm_mapping_v1	GBM_FEATURE:169ff670f3c26bd2	GBM_FEATURE:169ff670f3c26bd2|hsa:2326	hypotaurine	KEGG:C00519	FMO1	hsa:2326	DIRECT_ACCEPTED	DONE	"[""https://www.kegg.jp/entry/R12959"", ""https://www.uniprot.org/uniprotkb/Q01740/entry""]"	COAD	1	CONDITIONAL_NORMAL_LABEL_CONFLICT	reviewed exact-name plus chemical-key human biochemistry reuse;not functional proof
GBM	CAMP_GBM	02_MAPPING	20260925T103000Z_discovery_v1	gbm_mapping_v1	GBM_FEATURE:169ff670f3c26bd2	GBM_FEATURE:169ff670f3c26bd2|hsa:2328	hypotaurine	KEGG:C00519	FMO3	hsa:2328	DIRECT_ACCEPTED	DONE	"[""https://www.kegg.jp/entry/R12959"", ""https://www.uniprot.org/uniprotkb/P31513/entry""]"	COAD	1	CONDITIONAL_NORMAL_LABEL_CONFLICT	reviewed exact-name plus chemical-key human biochemistry reuse;not functional proof
GBM	CAMP_GBM	02_MAPPING	20260925T103000Z_discovery_v1	gbm_mapping_v1	GBM_FEATURE:169ff670f3c26bd2	GBM_FEATURE:169ff670f3c26bd2|hsa:339896	hypotaurine	KEGG:C00519	GADL1	hsa:339896	DIRECT_ACCEPTED	DONE	"[""https://www.kegg.jp/entry/R02466"", ""https://www.uniprot.org/uniprotkb/Q6ZQY3/entry""]"	COAD	1	CONDITIONAL_NORMAL_LABEL_CONFLICT	reviewed exact-name plus chemical-key human biochemistry reuse;not functional proof
GBM	CAMP_GBM	02_MAPPING	20260925T103000Z_discovery_v1	gbm_mapping_v1	GBM_FEATURE:169ff670f3c26bd2	GBM_FEATURE:169ff670f3c26bd2|hsa:6529	hypotaurine	KEGG:C00519	SLC6A1	hsa:6529	DIRECT_ACCEPTED	DONE	"[""https://www.uniprot.org/uniprotkb/P30531/entry""]"	COAD	1	CONDITIONAL_NORMAL_LABEL_CONFLICT	reviewed exact-name plus chemical-key human biochemistry reuse;not functional proof
GBM	CAMP_GBM	02_MAPPING	20260925T103000Z_discovery_v1	gbm_mapping_v1	GBM_FEATURE:169ff670f3c26bd2	GBM_FEATURE:169ff670f3c26bd2|hsa:6538	hypotaurine	KEGG:C00519	SLC6A11	hsa:6538	DIRECT_ACCEPTED	DONE	"[""https://www.uniprot.org/uniprotkb/P48066/entry""]"	COAD	1	CONDITIONAL_NORMAL_LABEL_CONFLICT	reviewed exact-name plus chemical-key human biochemistry reuse;not functional proof
GBM	CAMP_GBM	02_MAPPING	20260925T103000Z_discovery_v1	gbm_mapping_v1	GBM_FEATURE:169ff670f3c26bd2	GBM_FEATURE:169ff670f3c26bd2|hsa:6540	hypotaurine	KEGG:C00519	SLC6A13	hsa:6540	DIRECT_ACCEPTED	DONE	"[""https://www.uniprot.org/uniprotkb/Q9NSD5/entry""]"	COAD	1	CONDITIONAL_NORMAL_LABEL_CONFLICT	reviewed exact-name plus chemical-key human biochemistry reuse;not functional proof
GBM	CAMP_GBM	02_MAPPING	20260925T103000Z_discovery_v1	gbm_mapping_v1	GBM_FEATURE:169ff670f3c26bd2	GBM_FEATURE:169ff670f3c26bd2|hsa:6533	hypotaurine	KEGG:C00519	SLC6A6	hsa:6533	DIRECT_ACCEPTED	DONE	"[""https://www.uniprot.org/uniprotkb/P31641/entry""]"	COAD	1	CONDITIONAL_NORMAL_LABEL_CONFLICT	reviewed exact-name plus chemical-key human biochemistry reuse;not functional proof
GBM	CAMP_GBM	02_MAPPING	20260925T103000Z_discovery_v1	gbm_mapping_v1	GBM_FEATURE:3373c499464b3190	GBM_FEATURE:3373c499464b3190|hsa:47	citrate	KEGG:C00158	ACLY	hsa:47	DIRECT_ACCEPTED	DONE	"[""https://www.kegg.jp/entry/R00352"", ""https://www.uniprot.org/uniprotkb/P53396/entry""]"	COAD	1	CONDITIONAL_NORMAL_LABEL_CONFLICT	reviewed exact-name plus chemical-key human biochemistry reuse;not functional proof
GBM	CAMP_GBM	02_MAPPING	20260925T103000Z_discovery_v1	gbm_mapping_v1	GBM_FEATURE:3373c499464b3190	GBM_FEATURE:3373c499464b3190|hsa:48	citrate	KEGG:C00158	ACO1	hsa:48	DIRECT_ACCEPTED	DONE	"[""https://www.kegg.jp/entry/R01324"", ""https://www.kegg.jp/entry/R01325"", ""https://www.uniprot.org/uniprotkb/P21399/entry""]"	COAD	1	CONDITIONAL_NORMAL_LABEL_CONFLICT	reviewed exact-name plus chemical-key human biochemistry reuse;not functional proof
GBM	CAMP_GBM	02_MAPPING	20260925T103000Z_discovery_v1	gbm_mapping_v1	GBM_FEATURE:3373c499464b3190	GBM_FEATURE:3373c499464b3190|hsa:50	citrate	KEGG:C00158	ACO2	hsa:50	DIRECT_ACCEPTED	DONE	"[""https://www.kegg.jp/entry/R01324"", ""https://www.kegg.jp/entry/R01325"", ""https://www.uniprot.org/uniprotkb/Q99798/entry""]"	COAD	1	CONDITIONAL_NORMAL_LABEL_CONFLICT	reviewed exact-name plus chemical-key human biochemistry reuse;not functional proof
GBM	CAMP_GBM	02_MAPPING	20260925T103000Z_discovery_v1	gbm_mapping_v1	GBM_FEATURE:3373c499464b3190	GBM_FEATURE:3373c499464b3190|hsa:56172	citrate	KEGG:C00158	ANKH	hsa:56172	DIRECT_ACCEPTED	DONE	"[""https://www.uniprot.org/uniprotkb/Q9HCJ1/entry""]"	COAD	1	CONDITIONAL_NORMAL_LABEL_CONFLICT	reviewed exact-name plus chemical-key human biochemistry reuse;not functional proof
GBM	CAMP_GBM	02_MAPPING	20260925T103000Z_discovery_v1	gbm_mapping_v1	GBM_FEATURE:3373c499464b3190	GBM_FEATURE:3373c499464b3190|hsa:1431	citrate	KEGG:C00158	CS	hsa:1431	DIRECT_ACCEPTED	DONE	"[""https://www.kegg.jp/entry/R00351"", ""https://www.uniprot.org/uniprotkb/O75390/entry""]"	COAD	1	CONDITIONAL_NORMAL_LABEL_CONFLICT	reviewed exact-name plus chemical-key human biochemistry reuse;not functional proof
GBM	CAMP_GBM	02_MAPPING	20260925T103000Z_discovery_v1	gbm_mapping_v1	GBM_FEATURE:3373c499464b3190	GBM_FEATURE:3373c499464b3190|hsa:57494	citrate	KEGG:C00158	RIMKLB	hsa:57494	DIRECT_ACCEPTED	DONE	"[""https://www.kegg.jp/entry/R10677"", ""https://www.uniprot.org/uniprotkb/Q9ULI2/entry""]"	COAD	1	CONDITIONAL_NORMAL_LABEL_CONFLICT	reviewed exact-name plus chemical-key human biochemistry reuse;not functional proof
GBM	CAMP_GBM	02_MAPPING	20260925T103000Z_discovery_v1	gbm_mapping_v1	GBM_FEATURE:3373c499464b3190	GBM_FEATURE:3373c499464b3190|hsa:94097	citrate	KEGG:C00158	SFXN5	hsa:94097	DIRECT_ACCEPTED	DONE	"[""https://www.uniprot.org/uniprotkb/Q8TD22/entry""]"	COAD	1	CONDITIONAL_NORMAL_LABEL_CONFLICT	reviewed exact-name plus chemical-key human biochemistry reuse;not functional proof
GBM	CAMP_GBM	02_MAPPING	20260925T103000Z_discovery_v1	gbm_mapping_v1	GBM_FEATURE:3373c499464b3190	GBM_FEATURE:3373c499464b3190|hsa:9058	citrate	KEGG:C00158	SLC13A2	hsa:9058	DIRECT_ACCEPTED	DONE	"[""https://www.uniprot.org/uniprotkb/Q13183/entry""]"	COAD	1	CONDITIONAL_NORMAL_LABEL_CONFLICT	reviewed exact-name plus chemical-key human biochemistry reuse;not functional proof
GBM	CAMP_GBM	02_MAPPING	20260925T103000Z_discovery_v1	gbm_mapping_v1	GBM_FEATURE:3373c499464b3190	GBM_FEATURE:3373c499464b3190|hsa:284111	citrate	KEGG:C00158	SLC13A5	hsa:284111	DIRECT_ACCEPTED	DONE	"[""https://www.uniprot.org/uniprotkb/Q86YT5/entry""]"	COAD	1	CONDITIONAL_NORMAL_LABEL_CONFLICT	reviewed exact-name plus chemical-key human biochemistry reuse;not functional proof
GBM	CAMP_GBM	02_MAPPING	20260925T103000Z_discovery_v1	gbm_mapping_v1	GBM_FEATURE:3373c499464b3190	GBM_FEATURE:3373c499464b3190|hsa:6576	citrate	KEGG:C00158	SLC25A1	hsa:6576	DIRECT_ACCEPTED	DONE	"[""https://www.uniprot.org/uniprotkb/P53007/entry""]"	COAD	1	CONDITIONAL_NORMAL_LABEL_CONFLICT	reviewed exact-name plus chemical-key human biochemistry reuse;not functional proof
GBM	CAMP_GBM	02_MAPPING	20260925T103000Z_discovery_v1	gbm_mapping_v1	GBM_FEATURE:3373c499464b3190	GBM_FEATURE:3373c499464b3190|hsa:9016	citrate	KEGG:C00158	SLC25A14	hsa:9016	DIRECT_ACCEPTED	DONE	"[""https://www.uniprot.org/uniprotkb/O95258/entry""]"	COAD	1	CONDITIONAL_NORMAL_LABEL_CONFLICT	reviewed exact-name plus chemical-key human biochemistry reuse;not functional proof
GBM	CAMP_GBM	02_MAPPING	20260925T103000Z_discovery_v1	gbm_mapping_v1	GBM_FEATURE:3373c499464b3190	GBM_FEATURE:3373c499464b3190|hsa:89874	citrate	KEGG:C00158	SLC25A21	hsa:89874	DIRECT_ACCEPTED	DONE	"[""https://www.uniprot.org/uniprotkb/Q9BQT8/entry""]"	COAD	1	CONDITIONAL_NORMAL_LABEL_CONFLICT	reviewed exact-name plus chemical-key human biochemistry reuse;not functional proof
GBM	CAMP_GBM	02_MAPPING	20260925T103000Z_discovery_v1	gbm_mapping_v1	GBM_FEATURE:366993077ce453b4	GBM_FEATURE:366993077ce453b4|HGNC:2605	cholesterol	KEGG:C00187	CYP27A1	HGNC:2605	DIRECT_ACCEPTED	DONE	https://www.uniprot.org/uniprotkb/Q02318/entry	PRAD	1	CONDITIONAL_NORMAL_LABEL_CONFLICT	reviewed exact-name plus chemical-key human biochemistry reuse;not functional proof
GBM	CAMP_GBM	02_MAPPING	20260925T103000Z_discovery_v1	gbm_mapping_v1	GBM_FEATURE:366993077ce453b4	GBM_FEATURE:366993077ce453b4|UniProt:P35610	cholesterol	KEGG:C00187	SOAT1	UniProt:P35610	DIRECT_ACCEPTED	DONE	https://enzyme.expasy.org/EC/2.3.1.26 ; https://www.uniprot.org/uniprotkb/P35610/entry ; https://enzyme.expasy.org/EC/2.3.1.26 ; https://www.uniprot.org/uniprotkb/P35610/entry ; https://www.uniprot.org/uniprotkb/P35610/entry	BRCA;PRAD	2	CONDITIONAL_NORMAL_LABEL_CONFLICT	reviewed exact-name plus chemical-key human biochemistry reuse;not functional proof
GBM	CAMP_GBM	02_MAPPING	20260925T103000Z_discovery_v1	gbm_mapping_v1	GBM_FEATURE:366993077ce453b4	GBM_FEATURE:366993077ce453b4|UniProt:O75908	cholesterol	KEGG:C00187	SOAT2	UniProt:O75908	DIRECT_ACCEPTED	DONE	https://enzyme.expasy.org/EC/2.3.1.26 ; https://www.uniprot.org/uniprotkb/O75908/entry ; https://enzyme.expasy.org/EC/2.3.1.26 ; https://www.uniprot.org/uniprotkb/O75908/entry ; https://www.uniprot.org/uniprotkb/O75908/entry	BRCA;PRAD	2	CONDITIONAL_NORMAL_LABEL_CONFLICT	reviewed exact-name plus chemical-key human biochemistry reuse;not functional proof
GBM	CAMP_GBM	02_MAPPING	20260925T103000Z_discovery_v1	gbm_mapping_v1	GBM_FEATURE:368c03edafa119f4	GBM_FEATURE:368c03edafa119f4|hsa:26	putrescine	KEGG:C00134	AOC1	hsa:26	DIRECT_ACCEPTED	DONE	https://www.uniprot.org/uniprotkb/P19801/entry	PDAC	1	CONDITIONAL_NORMAL_LABEL_CONFLICT	reviewed exact-name plus chemical-key human biochemistry reuse;not functional proof
GBM	CAMP_GBM	02_MAPPING	20260925T103000Z_discovery_v1	gbm_mapping_v1	GBM_FEATURE:368c03edafa119f4	GBM_FEATURE:368c03edafa119f4|UniProt:Q9H7F0	putrescine	KEGG:C00134	ATP13A3	UniProt:Q9H7F0	DIRECT_ACCEPTED	DONE	https://www.uniprot.org/uniprotkb/Q9H7F0/entry	PDAC	1	CONDITIONAL_NORMAL_LABEL_CONFLICT	reviewed exact-name plus chemical-key human biochemistry reuse;not functional proof
GBM	CAMP_GBM	02_MAPPING	20260925T103000Z_discovery_v1	gbm_mapping_v1	GBM_FEATURE:368c03edafa119f4	GBM_FEATURE:368c03edafa119f4|UniProt:Q969S8	putrescine	KEGG:C00134	HDAC10	UniProt:Q969S8	DIRECT_ACCEPTED	DONE	https://www.uniprot.org/uniprotkb/Q969S8/entry	PDAC	1	CONDITIONAL_NORMAL_LABEL_CONFLICT	reviewed exact-name plus chemical-key human biochemistry reuse;not functional proof
GBM	CAMP_GBM	02_MAPPING	20260925T103000Z_discovery_v1	gbm_mapping_v1	GBM_FEATURE:368c03edafa119f4	GBM_FEATURE:368c03edafa119f4|UniProt:P11926	putrescine	KEGG:C00134	ODC1	UniProt:P11926	DIRECT_ACCEPTED	DONE	https://enzyme.expasy.org/EC/4.1.1.17 ; https://www.uniprot.org/uniprotkb/P11926/entry ; https://www.uniprot.org/uniprotkb/P11926/entry	BRCA;PDAC	2	CONDITIONAL_NORMAL_LABEL_CONFLICT	reviewed exact-name plus chemical-key human biochemistry reuse;not functional proof
GBM	CAMP_GBM	02_MAPPING	20260925T103000Z_discovery_v1	gbm_mapping_v1	GBM_FEATURE:368c03edafa119f4	GBM_FEATURE:368c03edafa119f4|hsa:196743	putrescine	KEGG:C00134	PAOX	hsa:196743	DIRECT_ACCEPTED	DONE	https://www.uniprot.org/uniprotkb/Q6QHF9/entry	PDAC	1	CONDITIONAL_NORMAL_LABEL_CONFLICT	reviewed exact-name plus chemical-key human biochemistry reuse;not functional proof
GBM	CAMP_GBM	02_MAPPING	20260925T103000Z_discovery_v1	gbm_mapping_v1	GBM_FEATURE:368c03edafa119f4	GBM_FEATURE:368c03edafa119f4|hsa:6580	putrescine	KEGG:C00134	SLC22A1	hsa:6580	DIRECT_ACCEPTED	DONE	https://www.uniprot.org/uniprotkb/O15245/entry	PDAC	1	CONDITIONAL_NORMAL_LABEL_CONFLICT	reviewed exact-name plus chemical-key human biochemistry reuse;not functional proof
GBM	CAMP_GBM	02_MAPPING	20260925T103000Z_discovery_v1	gbm_mapping_v1	GBM_FEATURE:368c03edafa119f4	GBM_FEATURE:368c03edafa119f4|hsa:6582	putrescine	KEGG:C00134	SLC22A2	hsa:6582	DIRECT_ACCEPTED	DONE	https://www.uniprot.org/uniprotkb/O15244/entry	PDAC	1	CONDITIONAL_NORMAL_LABEL_CONFLICT	reviewed exact-name plus chemical-key human biochemistry reuse;not functional proof
GBM	CAMP_GBM	02_MAPPING	20260925T103000Z_discovery_v1	gbm_mapping_v1	GBM_FEATURE:368c03edafa119f4	GBM_FEATURE:368c03edafa119f4|hsa:57210	putrescine	KEGG:C00134	SLC45A4	hsa:57210	DIRECT_ACCEPTED	DONE	https://www.uniprot.org/uniprotkb/Q5BKX6/entry	PDAC	1	CONDITIONAL_NORMAL_LABEL_CONFLICT	reviewed exact-name plus chemical-key human biochemistry reuse;not functional proof
GBM	CAMP_GBM	02_MAPPING	20260925T103000Z_discovery_v1	gbm_mapping_v1	GBM_FEATURE:368c03edafa119f4	GBM_FEATURE:368c03edafa119f4|hsa:6723	putrescine	KEGG:C00134	SRM	hsa:6723	DIRECT_ACCEPTED	DONE	https://www.uniprot.org/uniprotkb/P19623/entry	PDAC	1	CONDITIONAL_NORMAL_LABEL_CONFLICT	reviewed exact-name plus chemical-key human biochemistry reuse;not functional proof
GBM	CAMP_GBM	02_MAPPING	20260925T103000Z_discovery_v1	gbm_mapping_v1	GBM_FEATURE:3d25af3508933dfb	GBM_FEATURE:3d25af3508933dfb|hsa:6470	serine	KEGG:C00065	SHMT1	hsa:6470	DIRECT_ACCEPTED	DONE	https://enzyme.expasy.org/EC/2.1.2.1 ; https://www.uniprot.org/uniprotkb/P34896/entry	BRCA	1	CONDITIONAL_NORMAL_LABEL_CONFLICT	reviewed exact-name plus chemical-key human biochemistry reuse;not functional proof
